Type-Activité;Activité;Nom de l'établissement;Adresse de l'établissement;Code postal;Commune;Code insee;Latitude;Longitude;localisation;Adresse mail;Tél;Site Web;Complément_1;Complément_2
Patrimoine culturel;Architecture;Avenue des Alouettes;;44000;NANTES;44109;47.20102612544205;-1.6030992870375167;47.20102612544205, -1.6030992870375167;;;;2e quart 20e siècle;"L'avenue des Alouettes est une impasse perpendiculaire à la rue des Alouettes.Sur le cadastre napoléonien, le parcellaire agricole s'étire en lanières orientées nord-sud sur ce versant bien exposé de la rive droite de la Loire.Des indications comme ""Les Pâtures"" ou ""Les Allouettes"" indiquent un paysage champêtre. Le ""hameau des Allouettes"" est construit en bordure d'une voie est-ouest qui se développe sur une courbe de niveau au sommet du coteau.Les maisons ont une vue particulièrement dégagée sur les champs et sur la Loire.A son extrémité sud, le chemin agricole se poursuit et dessert jardins ouvriers et champs en surplomb au-dessus du boulevard du Maréchal-Juin. En 1956, les entrepôts et usines se cantonnent, en partie, au côté sud du boulevard laissant le côté nord en coteau agricole.Dans la seconde moitié du XXe siècle, le côté nord du boulevard du Maréchal-Juin est accaparé par des entrepôts, des usines et des bureaux. Aujourd'hui, l'avenue des Alouettes offre théoriquement encore un débouché vers la Loire, mais le passage est obturé à proximité de l'entreprise BITASOFT (Business Information Technology Application Software)."
Patrimoine culturel;Architecture;Avenue, escaliers et promontoire de Lusançay;;44000;NANTES;44109;47.19987055519329;-1.581478281685877;47.19987055519329, -1.581478281685877;;;;2e quart 19e siècle;"L'avenue, le promontoire et l'escalier de Lusançay tiennent leur nom de l'ancienne propriété de Pierre Carré de Lusançay (1766-1853), navigateur, militaire et maire-adjoint de Nantes.1450-1853 : La propriété de LusançayUn premier manoir est mentionné dans les années 1450. Domaine de moyenne justice, il est rattaché à la grande justice du Château de la Musse. Il sert de prison pendant la Terreur. Au sud de cette propriété, des remises, des écuries, une terrasse et une chapelle dédiée à la Vierge sont construites. Les navires arrivant à Nantes saluent sainte Marie d'un coup de canon. Une tour d'observation, dite tour Lusançay, est située à flanc de coteau, et un souterrain construit dans les années 1770 aurait permis de gagner le manoir de la Hautière, encore en place. Au nord de la propriété, un étang sert de réservoir. Au cours de la première moitié du XIXe siècle, le manoir et la chapelle sont en partie détruits à la suite d'un incendie. Les dernières traces du manoir (tour et chapelle) seront rasés en 1910.1853-1905 : Le partage des terres et la création du lotissement de LusançayÀ la mort de Pierre Carré de Lusançay en 1853, les terres sont partagées et les biens dispersés. La Ville de Nantes achète une partie des carrières de Misery et le manoir de la Hautière  (cf. dossier) . Sur les terres de la propriété, un promoteur réalise un lotissement privé avec des voies de communication interne : l'artère principale (future avenue de Lusançay) est délimitée au nord par une grille et au sud par l'ancienne terrasse au château, offrant une vue sur la Loire ; les cinq autres entrées au lotissement sont fermées par des portes. L'étang est commun à tous les acquéreurs. La maison située au n°11 pourrait dater de cette époque  (cf. dossier) . En 1856, l'avenue réputée pour ses plantations de magnolias est appelée avenue de Lusançay. Dans les mêmes années, un escalier est construit entre la rue de la Poignée et la rue Joseph Cholet. Mais peu praticable, il est reconstruit au cours des années 1860-1870 et entre en service en 1872. Il permet aux ouvriers habitants rue de la Poignée de rejoindre les usines sur les quais (cf. dossier : immeuble 8 à 14bis rue de la Poignée).1905-1932 : La municipalisation des voiesLes voies de communication privées de l'enclos de Lusançay sont utilisées quotidiennement par les habitants du quartier Sainte-Anne. Entre 1894 et 1904, devant la multiplication des actes de vandalisme pour accéder aux voies, les propriétaires n'ont de cesse de demander l'annexion de l'avenue de Lusançay à la voirie municipale. Leur demande est satisfaite en mai 1905.Mais l'avenue de Lusançay et la rue de la Poignée ne sont raccordées entre elles par un escalier qu'en 1920, date à laquelle le directeur des Brasseries de la Meuse fait construire des maisons ouvrières, ainsi qu'une crèche, dans la rue de la Poignée (cf. dossier) . Le square Maurice Schwob est aménagé sur une partie du parc de Lusançay au début des années 1930  (cf. dossier) . En 1932, Monsieur Beaulieu, propriétaire d'une partie du domaine de Lusançay, demande la possibilité de créer un lotissement sur les terrains vacants. Sa parcelle est partagée en sept lots. L'absence de cahier des charges entraîne une diversité dans la construction des maisons : la maison située au n°10 avenue de Lusançay est le témoin de ce lotissement  (cf. dossier) ."
Patrimoine culturel;Architecture;Bains et lavoirs municipaux, 20 rue Dupleix;;44000;NANTES;44109;47.203833541273404;-1.5776879653190525;47.203833541273404, -1.5776879653190525;;;;1er quart 20e siècle;"A la suite des rapports sur l'insalubrité de 1850 et de ses conclusions sur l'utilité du percement de nouvelles voies, le Conseil Municipal de Nantes décide en 1897 d'ouvrir de façon radicale l'enchevêtrement de ruelles et de cours à l'est de l'avenue Sainte-Anne. La rue Dupleix est percée et le terrain restant la propriété de la ville à l'angle de la ruelle des Grands Jardins, est affecté à la construction de ""bains et lavoirs municipaux"". L'édifice dessiné par Alfred Marchand, architecte communal, est inauguré en 1901. Les douches sont destinées aux hommes. Les femmes bénéficient de bains ordinaires ou ""de Barèges"" (avec adjonction de sels extraits des eaux de Barèges donnant des bains sulfureux). Linge et fournitures peuvent être fournis contre rétribution. Pour le lavage du linge, différents emplacements sont proposés avec ""gargotte"" ou pour baquet. Le temps est compté : un premier tarif s'applique pour une ""première station de deux heures ou moins"", un second tarif pour ""chaque heure suivante commencée"". Un bac de rinçage est aménagé de façon centrale.Étant donné l'exiguïté des espaces extérieurs et le manque de jardins privatifs, une grande aire de séchage est aménagée dans l'angle sud-est de la parcelle. Un tarif est appliqué ""par cinq mètres de cordes minimum pour une durée de 24 heures, à compter de la prise de possession au lendemain même heure"".Outre les bains et lavoirs, l'établissement comprend un fourneau alimentaire, un réfectoire pouvant accueillir jusqu'à 144 personnes, des lavoirs et un dépôt de pompe à incendie avec ""poste de prompts secours"" destinés aux habitants du quartier.Au cours du XXe siècle, différents travaux ont réalisés. En 1938, les façades de l'aile des bains-douches sont réenduites. Des photographies de 1952 témoignent d'importants travaux intérieurs : les salles de bain sont réaménagées. La date d'arrêt de fonctionnement des bains-douches ne nous est pas connue. En 1968, un gymnase est construit à l'emplacement des lavoirs et séchoirs ; baptisé gymnase Gravaud en hommage aux instituteurs ayant œuvré aux écoles des Garennes. En 1981-1982, l'étage des bains-douches est transformé en salles de réunion pour associations. Le gymnase a fait l'objet d'une restauration en 1992. L'espace couvert d'accès à l'ancienne chaufferie et à la citerne sert aujourd'hui de stockage pour le Comité des œuvres sociales."
Activités Touristiques;Formules itinérantes;BALADE PRIVATISÉE EN BATEAU;Bassin St Félix en face du 48 quai Malakoff  ;44000;NANTES;44109;47.2239586;-1.5408058;47.2239586, -1.5408058;olivier@latouedenantes.fr;0681876449;http://www.latouedenantes.fr;;
Activités Touristiques;Bateaux promenade;BATEAU HABITABLE PÉNICHE CAP VERT;Association CAP VERT  2 bis bd Léon Bureau ;44000;NANTES;44109;47.469785;-1.765371;47.469785, -1.765371;asso.capvert@gmail.com;02.51.82.07.49;penichecapvert.com;;
Activités Touristiques;Balades fluviales;BATEAU HABITABLE PÉNICHE CAP VERT;2 bis bd Léon Bureau;44000;NANTES;44109;47.2059714;-1.5636885;47.2059714, -1.5636885;asso.capvert@orange.fr;02 51 82 07 49;penichecapvert.com;;
Activités Touristiques;Label Tourisme Handicap;BATEAU HABITABLE PÉNICHE CAP VERT;2 bis bd Léon Bureau;44000;NANTES;44109;47.2059714;-1.5636885;47.2059714, -1.5636885;asso.capvert@orange.fr;02 51 82 07 49;penichecapvert.com;;
Activités Touristiques;Bar à thème;BATEAU LAVOIR;  quai Ceineray ;44000;NANTES;44109;47.2208526;-1.5535448;47.2208526, -1.5535448;0;0;http://www.levoyageanantes.fr/;;
Activités Touristiques;Base de loisirs;BATEAUX ELECTRIQUES  ET CANOES RUBAN VERT NANTES;  ILE DE VERSAILLES ;44000;NANTES;44109;47.2260002;-1.5545387;47.2260002, -1.5545387;info@rubanvert.fr;0;www.rubanvert.fr;;
Activités Touristiques;Base ou club nautique;BATEAUX ELECTRIQUES  ET CANOES RUBAN VERT NANTES;  ILE DE VERSAILLES ;44000;NANTES;44109;47.2260002;-1.5545387;47.2260002, -1.5545387;info@rubanvert.fr;0;www.rubanvert.fr;;
Activités Touristiques;Bateaux promenade;BATEAUX ELECTRIQUES  ET CANOES RUBAN VERT NANTES;  ILE DE VERSAILLES ;44000;NANTES;44109;47.2260002;-1.5545387;47.2260002, -1.5545387;info@rubanvert.fr;0;www.rubanvert.fr;;
Activités Touristiques;Bateaux promenade;BATEAUX NANTAIS; Place Waldeck Rousseau Quai de la Motte Rouge CS 50826;44000;NANTES;44109;47.227977;-1.5516964;47.227977, -1.5516964;emilie.clergue@bateaux-nantais.fr;02.40.14.51.14;www.bateaux-nantais.fr;;
Activités Touristiques;Balades fluviales;BATEAUX NANTAIS;Quai de la Motte Rouge;44000;NANTES;44109;47.2185047;-1.5446583;47.2185047, -1.5446583;commercial@bateau-nantais.fr;02 40 14 51 14;www.bateaux-nantais.fr;;
Patrimoine culturel;Site et monument historiques;BELVÉDÈRE DE L'HERMITAGE - TADASHI KAWAMATA;Rue de l'Hermitage;44000;NANTES;44109;47.202373;-1.576701;47.202373, -1.576701;;;https://www.levoyageanantes.fr/;;
Activités Touristiques;Formules itinérantes;BIKE'N TOUR NANTES;  19 RUE JEAN JAURES ;44000;NANTES;44109;47.2191062;-1.5604114;47.2191062, -1.5604114;contact@bikentour.com;06 52 62 94 64;http://www.bikentour.com;;
Activités Touristiques;Loueur de vélos;BIKE'N TOUR NANTES;  19 RUE JEAN JAURES ;44000;NANTES;44109;47.2191062;-1.5604114;47.2191062, -1.5604114;contact@bikentour.com;06 52 62 94 64;http://www.bikentour.com;;
Activités culturelles;Salles de Spectacles;BLOCKHAUS DY 10;5 bis rue Léon Bureau;44000;NANTES;44109;47.2082369;-1.5658048;47.2082369, -1.5658048;0;02.40.89.45.72;#N/A;;
Activités Touristiques;Formules itinérantes;BOL D'ERDRE EN BATEAU;Bassin St Félix en face du 48 quai de Malakoff  ;44000;NANTES;44109;47.215326;-1.5432506;47.215326, -1.5432506;olivier@latouedenantes.fr;06 81 87 64 49;www.latouedenantes.fr;;
Patrimoine culturel;Architecture;Bureau de poste, 50 boulevard de la Liberté;;44000;NANTES;44109;47.20061803812768;-1.588897495442585;47.20061803812768, -1.588897495442585;;;;1ère moitié 20e siècle;Le bureau des Postes Télégraphe et Télécommunications est construit en 1935 par l'architecte Gabriel Guchet, l'un des auteurs des HBM de la butte Sainte-Anne et de la cité Arthur Benoît.
Patrimoine culturel;Architecture;Café Jean Macé et piste de jeu de boules nantaises, 51 boulevard de la Liberté;;44000;NANTES;44109;47.20055233592002;-1.5895116555922224;47.20055233592002, -1.5895116555922224;;;;19e siècle;"Le bâtiment abritant le café est construit après le percement du boulevard de la Liberté au début du XXe siècle. L'amicale de jeu de boules nantaises ""Jean Macé"" est créée en 1925."
Patrimoine culturel;Musée et centre d'interprétation;CALE 2 CREATEURS;parc des Chantiers;44000;NANTES;44109;47.2055321;-1.5681973;47.2055321, -1.5681973;;;http://www.levoyageanantes.fr/;;
Activités culturelles;Lieux d'Art Contemporains;Campbon Tripode;26 rue du Plessis de la Musse;44000;NANTES;44109;47.218196;-1.577526;47.218196, -1.577526;assotripode@yahoo.fr;"02 53 45 31 76 ; 06 61 32 86 41";;;
Patrimoine culturel;Architecture;Carrières Miséry, 1 rue Joseph-Cholet;;44000;NANTES;44109;47.20069802622028;-1.5800991538990743;47.20069802622028, -1.5800991538990743;;;;15e siècle;"XVIe siècle - début du XXe siècle : La carrière granitique de MiséryL'exploitation du site est attestée par de nombreuses sources dès la seconde moitié du XVIe siècle. Plusieurs types de pierre en sont extraites : la baryte sulfatée ainsi que deux variétés de granit (une roche très dure gris-bleu et une roche friable jaune). La légende veut que la carrière hérite du nom de Miséry car elle aurait servi de refuge à des miséreux ainsi qu'à des ermites. Cette carrière appartient aux seigneurs de la Hautière qui en accordent la jouissance à la Ville de Nantes à l'extrême fin du XVIe siècle. Au XVIIIe siècle, la carrière ne cesse de s'agrandir provoquant des discordes entre la ville, les propriétaires et les riverains. Elle sert de lieu d'exécution au moment de la déroute de l'armée vendéenne lors de la Terreur. Au cours du XIXe siècle, le granit de Miséry est utilisé pour paver les rues nantaises. L'activité d'extraction se poursuit au début du XXe siècle cohabitant quelques années avec l'activité brassicole. 1900-1985 : les brasseries de la MeuseSur les matrices cadastrales de 1837, une brasserie, tenue par René Plumard, existe sur le terrain situé en face de la carrière. En 1900, Eugène Burgelin, originaire de l'est de la France, installe sa brasserie sur une partie du site de la carrière. En 1905, les trois plus grosses brasseries de Nantes Schaeffer, Rottenbach et Burgelin, fusionnent et regroupent leurs activités à Miséry. L'entreprise devient la Société des Brasseries Nantaises, avec pour emblème un paludier. En 1906, les trois associés vendent une partie de leurs actions aux Brasseries de la Meuse créées en 1890 par Adolphe Kreiss, à Bar-le-Duc. Leur développement est fulgurant : les brasseries rayonnent sur 22 départements.La fabrication et le conditionnement : En 1919, des travaux de surélévation d'une partie des bâtiments, conduits par les architectes Francis Leray et André Chauvet, sont réalisés afin de construire une nouvelle salle de brassage. En 1928, suite à l'élaboration d'un procédé innovant, le premier atelier d'embouteillage de France conditionnant la bière est mis en place à Miséry : 200 000 bouteilles sortent quotidiennement des chaînes. La main-d'œuvre est essentiellement féminine. L'orge utilisée pour la fabrication du malt provient de la Mayenne, de la Sarthe, du Maine-et-Loire, de l'Indre, de Beauce et de Champagne. Les brasseries font elles-mêmes leur malt et disposent d'une malterie pneumatique. Parallèlement à la fabrication de cinq types de bière (le Petit Bock, le Paludier, la bouteille de table, La nourrice des nourrices, la bouteille export), une chaîne met en bouteilles, limonades, sodas et sirops commercialisés sous la marque ""Les Couronnes"". Des chercheurs mettent au point, en 1938, les jus de fruits Vivor : orange, pamplemousse et ananas, des fruits dont le port s'est fait une spécialité. La politique sociale de l'entreprise : A la pointe du progrès technique, les Brasseries Nantaises ne sont pas en reste en matière d'œuvres sociales. En 1896, Frédéric Burgelin crée une caisse de secours pour ses ouvriers. Puis, avec la croissance de l'entreprise, la Direction met en place de nouveaux services. Des maisons d'habitation sont construites rue de la Poignée ainsi qu'une crèche  (cf dossiers : crèche et maisons ouvrières) . Une infirmerie est ouverte et, chaque semaine, les salariés et leur famille peuvent s'y rendre pour des consultations gratuites. Une salle de douche est mise à disposition du personnel qui peut, de plus, bénéficier de prix avantageux sur des produits de première nécessité, par l'intermédiaire d'une coopérative.Les années 1940-1950 : Soucieuse de trouver de nouvelles sources d'approvisionnement en eau, la direction fait creuser en 1938-39, un puits, mais l'eau révèle une trop forte teneur en fer et s'avère impropre à la fabrication de la bière. Elle sert cependant à celle des jus de fruits et est commercialisée, à partir de l'été 1942, en eau gazeuse ""la Duchesse Anne"". Pendant la Seconde Guerre mondiale, les approvisionnements en agrumes sont suspendus ; la gamme de jus Vivor utilise les fruits locaux : fraise, cassis, groseille, framboise et raisin. L'usine fabrique alors du cidre pour parer aux manques de houblon et d'orge. La malterie, avec son toit en béton très épais, sert parfois d'abri en cas de bombardement et abrite les ouvriers et les habitants du quartier. Au début des années cinquante, les Brasseries de la Meuse sont considérées comme l'une des brasseries les plus importantes de France. L'usine emploie plus de 50 personnes en saison, l'année 1953, et vend en moyenne 500 000 bouteilles par jour.La fermeture : Le déclin de la consommation de bière et le rachat de l'usine par le groupe BSN-Gervais-Danone signe l'arrêt de mort de l'usine qui ferme ses portes, au cours de l'été 1985, malgré de vives protestations. L'usine est détruite en 1987. Puis, en 1995, ce sont le grand hall et le chalet de réception qui disparaissent à leur tour du paysage. Aujourd'hui, cet espace est en friche. La ville de Nantes est propriétaire de l'ensemble du terrain (31 000 mètres carrés) depuis 2004. Depuis le printemps 2010, une association d'architectes et de paysagistes investit régulièrement le site où elle se livre à des expériences artistiques et végétales. Les anciennes façades sont mises à disposition de la ville pour les graffeurs.En 1998, un ancien viticulteur, Luc Ropert, brasse à nouveau de la bière dans le quartier. Deux autres microbrasseries existent dans l'agglomération nantaise, l'une à La Chapelle-sur-Erdre, et l'autre, près du rond-point de Paris."
Patrimoine culturel;Site et monument historiques;CARROUSEL DES MONDES MARINS;Bd Léon Bureau;44000;NANTES;44109;47.2059251;-1.5676974;47.2059251, -1.5676974;;;http://www.lesmachines-nantes.fr;;
Patrimoine culturel;Site et monument historiques;CATHÉDRALE SAINT-PIERRE - SAINT-PAUL;Place Saint-Pierre;44000;NANTES;44109;47.2183531;-1.5504798;47.2183531, -1.5504798;;;https://www.levoyageanantes.fr/;;
Patrimoine culturel;Architecture;Centrale électrique, actuellement Fonderie Atlantique, 26 rue des Usines;;44000;NANTES;44109;47.19467054378808;-1.5972512351306118;47.19467054378808, -1.5972512351306118;;;;19e siècle;"Le site est successivement occupé par les ""Chantiers nantais"", la centrale électrique de Chantenay (de 1912 à 1964), Leroux &amp; Lotz et la Fonderie Atlantique Industrie.Les chantiers de construction navale ""Chantiers nantais"" (cf. figure 2) :La compagnie Les Voiliers Nantais, fondée par Eugène Antoine Pergeline, est absorbée par Les Chargeurs de l'Ouest, en 1913. Cette dernière compagnie avait fait construire ses premiers cargos, bâtiments à vapeur, en 1903-1904, par la Société Anonyme des Chantiers nantais, dans un site nouvellement aménagé à Chantenay, situé entre la compagnie des Charbons et Briquettes de Blanzy-Ouest et l'entreprise de produits chimiques de MM. Pilon Frères, Buffet et Durand-Gasselin. Les Chantiers nantais sont implantés, au nord, entre la rue du Buzard (aujourd'hui disparue), et, au sud, la Loire, où des cales sont aménagées. À leur commande de vapeurs, les Chantiers nantais ajoutent la construction de très nombreux voiliers cap-horniers, à coque de fer. Les Chantiers nantais quittent le site avant 1912 pour laisser place au chantier de construction de la première centrale électrique nantaise, sur un terrain de 2,5 hectares, de part et d'autre de la rue du Buzard. Ce chantier, de grande importance, s'échelonnant sur plus d'une année et demie de travaux, est couvert par un reportage photographique intéressant, dont les clichés sont conservés aux Archives Municipales de Nantes.La centrale électrique :À la première centrale électrique nantaise, la centrale Sully, ouverte en 1891 et fermée en 1902, succède celle de la rue Lamoricière, utilisant les machines de la centrale Sully, et destinée à l'alimentation électrique des premières usines et du tramway. La centralisation de la production prend effet en 1913 avec la mise en service de la centrale de Chantenay. L'électrification du pays nantais est réalisée par la Société Nantaise d'Éclairage et de Force par l'électricité (SNEF), créée en 1892, qui assure la production et la distribution du courant. La SNEF est transformée en Société Nantaise d'Électricité (SNE) en 1941. Elle est nationalisée en 1946 et intégrée à EDF. Après guerre, la centrale de Chantenay, au maximum de ses capacités de production, ne peut répondre seule à la demande croissante d'électricité industrielle et domestique. La centrale de Cheviré, utilisant le charbon, le gaz et le fuel, est mise en service en 1954. Elle est arrêtée en 1986 puis avant la mise en service du pont de Cheviré. Les bâtiments de la centrale électrique de Chantenay, dont l'activité est définitivement arrêtée au début des années 1960, sont acquis par Leroux &amp; Lotz. À partir de 2001, Fonderie Atlantique Industrie y installe ses activités.Fonderie Atlantique Industrie :La Société de fonderie de fer et fonte est créée, en 1908, par les frères Babin-Chevaye, fils du dirigeant et fondateur des Ateliers et Chantiers de la Loire (ACL). À partir de 1937, elle prend le nom de Nantaise de Fonderie, se spécialise dans la fonderie de cuivre avec la fabrication d'hélices de bateau en alliage d'aluminium et de cuivre. Après les crises des industries pétrolière et navale des années 1960 et 1970, suite aux reprises successives de la fonderie par des groupes divers, et dans le contexte du projet urbain de l'Île de Nantes, elle déménage en 2000-2001 depuis le site des Fonderies à Vincent Gâche dans les bâtiments de l'ancienne centrale électrique de Chantenay, que la société Leroux &amp; Lotz occupait depuis les années 60-70. La Fonderie Atlantique Industrie emploie aujourd'hui une quinzaine de personnes. Le travail consiste en la fabrication de modèles en polystyrène et fibres de verre, la confection de moules, la fonderie, dans des fours allant jusqu'à une capacité de 35 tonnes, l'usinage et la finition de pièces en alliage de cuivre. Sa production est diverse, avec des pièces allant de quelques kilogrammes à 50 tonnes : pales, vannes, hélices, pompes."
