Nom de l'offre touristique;Type de l'offre;Adresse partie 2;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;localisation;email;N° de téléphone mobile;Url du site web;information 1;information 2
Gîtes et chambres Les Buissonnets;Chambres d'hôtes;3 rue de Kercousin;44420;LA TURBALLE;44211;47.34748;-2.4919;47.34748, -2.4919;;;https://les-buissonnets.fr/;   Climatisation,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon Equipement bébé  
GITE DES CASTORS DE LOIRE;Meublés;3 rue des Castors;44450;SAINT-JULIEN-DE-CONCELLES;44169;47.24875;-1.43072;47.24875, -1.43072;;06 81 50 02 43;;Maison Animal admis  Parc/jardin;Entrée indépendante,Garage,Jardin indépendant,Local vélo,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Lave vaisselle,Micro ondes Non classé Location de draps,Location de linge,Location/prêt de vélo,Option nettoyage
BRAULT HALGAND;Chambres d'hôtes;30 rue de la Herviais;44410;HERBIGNAC;44072;47.44973;-2.31704;47.44973, -2.31704;;06 79 35 57 91;https://chaumiere-marionnettes.jimdofree.com/;   ;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon   Location/prêt de vélo
Location de vacances - Maison 8 personnes Le plancton - M. Cuisnier;Meublés;360 rue d'Hoedic;44420;MESQUER;44097;47.40422;-2.48658;47.40422, -2.48658;;06 73 66 91 78;;Maison Animal admis  ;Jardin indépendant,Local vélo,Toilettes séparées Cheminée,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 4 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
GITE DES GLYCINES;Meublés;4 Le Petit Plessis;44590;DERVAL;44051;47.676406;-1.6680699;47.676406, -1.6680699;;;gitedesglycines.over-blog.com;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Garage,Jardin indépendant,Local vélo,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 3 étoiles Location de draps,Location/prêt de vélo,Option nettoyage
Ecureuil 1;Meublés;45 La Sencie;44480;DONGES;44052;47.341782;-2.084106;47.341782, -2.084106;;33617569793;; Animal admis  WiFi;Terrasse / Balcon Lave linge,Sèche linge,Lave vaisselle,Micro ondes  Location de draps
maison 5 pers adaptée au handicap;Meublés;47, rue du Marechal de lattre de tassigny;44420;LA TURBALLE;44211;47.3475824;-2.5061083;47.3475824, -2.5061083;;06 61 00 38 44;;Maison Animal admis  Parc/jardin;Jardin indépendant,Parking,Plain Pied,Terrain clos,Terrasse / Balcon Lave linge,Lave vaisselle,Micro ondes Non classé 
BREVOCEAN;Chambres d'hôtes;5 Allée des Pensées;44250;SAINT-BREVIN-LES-PINS;44154;47.22636;-2.16248;47.22636, -2.16248;;+33 (0)6 60 40 08 33;http://www.brevocean.fr/;Maison   WiFi; Micro ondes  
GÎTE CHEZ SOSSU - DORMIR COMME À LA MAISON;Meublés;5 Rue Denieul et Gastineau;44110;CHATEAUBRIANT;44036;47.72032;-1.37815;47.72032, -1.37815;;07 65 66 96 19;http://www.dormircommealamaison.fr/;Appartement   WiFi;Entrée indépendante,Sanitaires privés  Non classé Fourniture de linge (gratuit)
GÎTE LA QUINCAILLERIE;Meublés;5, La Rambellerie;44290;GUEMENE-PENFAO;44067;47.6379512;-1.8075819;47.6379512, -1.8075819;;06 26 55 57 44;https://www.larbreemaille.com;Maison   ;Entrée indépendante,Parking,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Micro ondes En cours de classement Fourniture de draps (gratuit),Location de linge,Option nettoyage
GÎTE DE LA PROVOTAIS;Meublés;6 la provotais;44460;FEGREAC;44057;47.5726285;-2.0391327;47.5726285, -2.0391327;;;; Animal non accepté  ;   
LE RELAIS DE LIGANÇON;Meublés;6 La ville de Ligançon;44290;GUEMENE-PENFAO;44067;47.604348;-1.771535;47.604348, -1.771535;;06 79 14 91 97;; Animal non accepté  ;   
Meublé 6-8 personnes - BEATRIX ENTRESELETSABLE;Meublés;60 rue de Ker d'Abas;44740;BATZ-SUR-MER;44010;47.27762;-2.48218;47.27762, -2.48218;;+33 (0) 681 913 102;http://www.entreseletsable.com;Maison Animal non accepté  Piscine;Garage,Jardin indépendant,Parking,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes 5 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit)
Villa Lou Ann;Chambres d'hôtes;7 rue de la Gascognais;44160;PONTCHATEAU;44129;47.42859;-2.10369;47.42859, -2.10369;;06 29 18 79 97;;Maison Animal non accepté  WiFi;Plain Pied,Terrasse / Balcon   
GÎTE LE CARPEDIEM;Meublés;7 Rue Saint-jean;44170;NOZAY;44113;47.566251;-1.626214;47.566251, -1.626214;;06 63 13 88 86;https://www.gite-le-carpediem.com/;   Espace bien-être;Entrée indépendante,Parking,Sanitaires privés,Terrasse / Balcon   
GÎTE L'ECRIN;Meublés;72 Avenue du Docteur André Bernou;44110;CHATEAUBRIANT;44036;47.7076639;-1.3485011;47.7076639, -1.3485011;;06 86 62 51 27;;   WiFi;Jardin indépendant,Parking   
M. & Mme Celton;Chambres d'hôtes;8bis chemin des Foins;44380;PORNICHET;44132;47.2733;-2.29448;47.2733, -2.29448;;06 08 13 43 85;http://sites.google.com/site/constanthebergement/;Maison Animal non accepté  WiFi;Sanitaires privés Equipement bébé  
GITE SERENITY CHAIS DE L'EPINAY;Meublés;Chais de l'Epinay;44140;LE BIGNON;44014;47.10975;-1.52314;47.10975, -1.52314;;;https://www.locationsalle44.com; Animal admis  Parc/jardin,WiFi;Entrée indépendante,Parking,Sanitaires privés,Toilettes séparées Micro ondes Non classé 
MANOIR DE L'ESPÉRANCE;Chambres d'hôtes;L'Espérance;44560;CORSEPT;44046;47.27736;-2.07751;47.27736, -2.07751;;06 19 26 75 80;https://manoirdelesperance.fr/;Maison   Piscine,WiFi;Parking Equipement bébé,Micro ondes  
YOURTE MONGOLE;Hébergement insolite;L'Hommeau;44310;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.037293;-1.596598;47.037293, -1.596598;;;;Yourte   ;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées  Non classé 
LA ROULOTTE DE PITOUÉ;Meublés;La Ferme de Pitoué;44750;CAMPBON;44025;47.395662;-1.969263;47.395662, -1.969263;;06 63 08 55 38;https://www.booking.com/hotel/fr/ferme-de-pitoue.fr.html;Roulotte   Parc/jardin;Entrée indépendante,Local vélo,Parking,Terrasse / Balcon,Toilettes séparées Micro ondes  Fourniture de draps (gratuit),Location de linge,Location/prêt de vélo
LOGEMENT À SAINT JULIEN DE CONCELLES;Meublés;LA JAUNIERE;44450;SAINT-JULIEN-DE-CONCELLES;44169;47.25335;-1.38827;47.25335, -1.38827;;;;   Parc/jardin,WiFi;Jardin indépendant,Parking,Sanitaires privés,Toilettes séparées Cheminée,Equipement bébé,Lave vaisselle  Fourniture de draps (gratuit),Option nettoyage
CHAMBRES D'HOTES LA MARMOIRE;Chambres d'hôtes;La Marmoire;44110;SOUDAN;44199;47.7533306;-1.2929812;47.7533306, -1.2929812;;;lamarmoire.com; Animal non accepté  Espace bien-être,Parc/jardin,Piscine,WiFi;   Tables d'hôtes
JOLY GÎTE;Meublés;La Morinière;44390;NORT-SUR-ERDRE;44110;47.4052445;-1.5303743;47.4052445, -1.5303743;;06 60 92 77 11;;Maison Animal non accepté  Parc/jardin;Entrée indépendante,Jardin indépendant,Local vélo,Terrain clos Lave linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
GÎTE BONNEAU;Meublés;Le Genêt Jahan;44270;MACHECOUL-SAINT-MEME;44087;47.0165933;-1.7835871;47.0165933, -1.7835871;;;;Maison   Parc/jardin;Entrée indépendante,Parking,Sanitaires privés,Terrasse / Balcon   
GITE LE MOULIN D'EREE;Hébergement insolite;Le Moulin d'Erée;44110;SOUDAN;44199;47.7445134;-1.2900501;47.7445134, -1.2900501;;06 71 10 35 58;gitelemoulinderee.fr;   Parc/jardin,WiFi;   
LE PLESSIS GRIMAUD;Chambres d'hôtes;Le Plessis Grimaud;44320;SAINT-VIAUD;44192;47.23648;-1.98842;47.23648, -1.98842;;06 62 10 62 30;http://www.le-plessis-grimaud.fr/;   Piscine,WiFi;Parking Equipement bébé,Micro ondes  Fourniture de draps (gratuit)
LA TOUE DE BLAIN;Bateau;Quai Surcouf;44130;BLAIN;44015;47.4693442;-1.7647507;47.4693442, -1.7647507;;06 61 53 43 26;https://www.latouedeblain.fr;Bateau à quai,Bateau habitable Animal admis  Plan d'eau,WiFi;Entrée indépendante,Local vélo,Parking,Sanitaires privés,Terrasse / Balcon Cheminée  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit)
CHAMBRE D'HÔTES DES CHESNAIES;Chambres d'hôtes;Route des Chesnaies;44119;GRANDCHAMP-DES-FONTAINES;44066;47.37431;-1.58705;47.37431, -1.58705;;;;Maison Animal non accepté  Espace bien-être,Parc/jardin,WiFi;Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées  Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
TINY HOUSE LA TINY FAMILY AU CAMPING DU CANAL;Locatif sur camping;Rue Henri II de Rohan;44130;BLAIN;44015;47.4678721;-1.76777;47.4678721, -1.76777;;06 88 97 01 79;https://campingducanal.fr/;Cabane   WiFi;Entrée indépendante,Terrasse / Balcon   Fourniture de draps (gratuit),Location de draps,Location/prêt de vélo
Location de vacances - Maison 4 personnes - M. Dugast;Meublés;Résidence du bois d'amour - maison N° 18;44420;PIRIAC-SUR-MER;44125;47.37605;-2.5551;47.37605, -2.5551;;06 27 34 12 43;;Maison   ;Jardin indépendant,Parking,Plain Pied,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Lave vaisselle,Micro ondes 2 étoiles 
Appartement 2 personnes * - Fenêtre sur Mer;Meublés;Fenêtre sur Mer;44380;PORNICHET;44132;47.26759;-2.34746;47.26759, -2.34746;;06 72 42 08 19;http://fenetre-sur-mer.fr;Appartement Animal non accepté  WiFi; Equipement bébé,Micro ondes 1 étoile Fourniture de draps (gratuit),Fourniture de linge (gratuit)
L'ATELIER;Meublés;5 lieu dit Bel Air;44390;CASSON;44027;47.397163;-1.53867;47.397163, -1.53867;;33783207564;; Animal non accepté  Piscine,WiFi;Parking,Terrain clos Equipement bébé,Micro ondes 1 étoile Fourniture de draps (gratuit),Fourniture de linge (gratuit)
GÎTE AUX QUATRE COINS;Meublés;;44310;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.06055;-1.6336;47.06055, -1.6336;;;https://www.facebook.com/people/G%C3%AEte-Aux-quatre-coins/100033794088964/;Maison   Parc/jardin;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Terrain clos,Terrasse / Balcon,Toilettes séparées  Non classé 
LA VILLA MONTPARNASSE;Chambres d'hôtes;;44290;GUEMENE-PENFAO;44067;47.69647;-1.8675209;47.69647, -1.8675209;;06 09 03 02 42;www.lavillamontparnasse.fr; Animal non accepté  ;Terrasse / Balcon,Toilettes séparées Micro ondes  Tables d'hôtes
CHAMBRES D'HÔTES AU CLOS DE LAUNAY;Chambres d'hôtes;Village de Launay;44850;LE CELLIER;44028;47.332325;-1.378998;47.332325, -1.378998;;06 31 70 27 06;;Maison Animal non accepté  Borne de recharge pour véhicules électriques,WiFi;Entrée indépendante,Jardin indépendant,Local vélo,Parking,Sanitaires privés Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Nettoyage (gratuit),Tables d'hôtes
GÎTE LA HAUTARDIÈRE;Meublés;;44360;SAINT-ETIENNE-DE-MONTLUC;44158;47.276451;-1.78059;47.276451, -1.78059;;06 80 64 64 07;;Maison   WiFi;Entrée indépendante,Jardin indépendant,Parking,Sanitaires privés  Non classé 
CHAMBRE D'HOTES DOMAINE DES 3 VERSANTS;Chambres d'hôtes;205 La Fevrie;44690;MAISDON-SUR-SEVRE;44088;47.1416;-1.381876;47.1416, -1.381876;;06 82 83 81 63;http://www.domaine3versants.fr;Chalet,Maison,Roulotte Animal non accepté SP accessible Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon Equipement bébé Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
AGREABLE T2 VILLES MARTIN;Meublés;14 Rue des Mouettes;44600;SAINT-NAZAIRE;44184;47.25928;-2.22549;47.25928, -2.22549;;07 80 04 11 53;;Appartement Animal non accepté  WiFi;Entrée indépendante,Garage,Local vélo,Terrasse / Balcon Lave linge,Micro ondes Non classé Option nettoyage
PETITE MAISON  DE 30 M² - 4 PERSONNES;Meublés;23 rue de la Libération;44770;LA PLAINE-SUR-MER;44126;47.1376961;-2.1907992;47.1376961, -2.1907992;;06 51 66 28 40;;Maison Animal non accepté  ;Parking,Terrain clos,Terrasse / Balcon Equipement bébé,Lave linge,Lave vaisselle,Micro ondes Non classé 
NOUVEAU - GÎTE LA DEMEURE BOUSSIRONNE;Meublés;38 rue Charles de Gaulle;44190;BOUSSAY;44022;47.0501975;-1.1847177;47.0501975, -1.1847177;;06 23 48 47 65;http://www.lademeureboussironne.fr;Maison Animal admis  Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Toilettes séparées Equipement bébé,Lave linge,Micro ondes Non classé Location de draps,Location de linge,Option nettoyage,Tables d'hôtes
CHAMBRES D'HOTES GITE ET NATURE;Chambres d'hôtes;La Fontaine des Coteaux;44190;BOUSSAY;44022;47.044688;-1.185822;47.044688, -1.185822;;06 71 69 79 62;http://www.gite-et-nature.com;Chalet,Maison Animal non accepté  Piscine,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon  3 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)
LE REFUGE DES VIGNES;Meublés;3542 route de Montfaucon;44330;MOUZILLON;44108;47.1249572;-1.2365624;47.1249572, -1.2365624;;;https://lerefugedesvignes.com/;Maison   Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage
LE VOYAGE DANS LA CHAMBRE JAUNE;Meublés;13 bis route de Cugand;44190;CLISSON;44043;47.0841609;-1.2813906;47.0841609, -1.2813906;;;;Maison Animal non accepté  Parc/jardin,WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon Equipement bébé,Micro ondes 2 étoiles 
L'escapade Clisson;Meublés;1 rue des Tisserands;44190;CLISSON;44043;47.0842387;-1.2797234;47.0842387, -1.2797234;;;https://lescapadeclisson.com;Maison Animal non accepté  WiFi;Parking Lave linge,Micro ondes 2 étoiles Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage
CHAMBRES D'HÔTES MANOIR DU PERRAY;Chambres d'hôtes;Le Nouveau Pourpris;44850;SAINT-MARS-DU-DESERT;44179;47.335835;-1.463918;47.335835, -1.463918;;06 75 91 00 32;http://www.manoirduperray.com;Châteaux et demeures de prestige Animal admis  Parc/jardin,Piscine,WiFi;Parking,Sanitaires privés,Terrain clos   
CAP HORN;Meublés;17 rue Vigier;44400;REZE;44143;47.1905427;-1.5447092;47.1905427, -1.5447092;;;http://www.residspa.com;Maison Animal non accepté  Espace bien-être,Parc/jardin,Piscine,Piscine couverte,WiFi;Entrée indépendante,Garage,Jardin indépendant,Sanitaires privés,Terrasse / Balcon,Toilettes séparées Lave linge,Sèche linge,Lave vaisselle,Micro ondes  Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage,Nettoyage (gratuit)
APPART'CLISSON;Meublés;34 avenue de la Caillerie;44190;CLISSON;44043;47.0837209;-1.2969827;47.0837209, -1.2969827;;;;Maison Animal non accepté  WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Lave linge,Micro ondes Non classé Location de draps,Location de linge,Option nettoyage
GITES DU JARDIN DE LA PLAGE VERTE;Meublés;2 chemin de la dolette;44240;SUCE-SUR-ERDRE;44201;47.3391156;-1.5124534;47.3391156, -1.5124534;;682661925;http://www.gite-laplageverte.com;Appartement,Maison Animal non accepté  Climatisation,Parc/jardin,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Lave linge,Micro ondes Non classé Location de draps,Location de linge
LA DEMEURE DE SAINT FIACRE;Chambres d'hôtes;Les Gras Moutons;44690;SAINT-FIACRE-SUR-MAINE;44159;47.1385045;-1.4154996;47.1385045, -1.4154996;;06 77 13 27 98;http://www.lademeure.fr/;Châteaux et demeures de prestige Animal admis  Parc/jardin,Plan d'eau,WiFi;Entrée indépendante,Jardin indépendant,Parking,Plain Pied,Sanitaires privés,Terrain clos,Terrasse / Balcon,Toilettes séparées Cheminée Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage
LE GÎTE EXOTIQUE AU CHÂTEAU DE LA PERVENCHÈRE;Meublés;La Pervenchère;44390;CASSON;44027;47.392991;-1.5158236;47.392991, -1.5158236;;06.74.53.67.70;;Appartement,Châteaux et demeures de prestige Animal non accepté  Parc/jardin;Entrée indépendante,Local vélo,Parking,Sanitaires privés  Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage
APPARTEMENT TERRASSE DU CENTRE;Meublés;18 Rue Denieul et Gastineau;44110;CHATEAUBRIANT;44036;47.7212081;-1.3784142;47.7212081, -1.3784142;;617420103;www.enpaysdelaloire.com/hebergements/gites-et-locations-de-meubles/l-appartement-terrasse-du-centre;Appartement Animal non accepté  WiFi;Local vélo,Sanitaires privés,Terrasse / Balcon Equipement bébé,Lave linge,Sèche linge,Micro ondes Non classé Fourniture de draps (gratuit),Fourniture de linge (gratuit)
GITE JARDIN CLERAY;Meublés;120 Le Cleray;44330;VALLET;44212;47.15443;-1.240261;47.15443, -1.240261;;02 72 17 76 75;http://www.jardincleray.fr;Maison Animal non accepté  ;Entrée indépendante,Jardin indépendant,Plain Pied,Sanitaires privés   Location de draps,Location de linge,Option nettoyage
LA COUR DE L'EPINAY;Meublés;La Cour de l'Epinay;44140;LE BIGNON;44014;47.10926;-1.5246;47.10926, -1.5246;;;https://www.lacourdelepinay.fr/; Animal admis  WiFi;Jardin indépendant,Parking,Terrain clos Equipement bébé Non classé Fourniture de draps (gratuit)
GITES NANTES GRANDLIEU LE PETIT GITE;Meublés;6, rue du Grand Moulin;44860;PONT-SAINT-MARTIN;44130;47.12512;-1.5839;47.12512, -1.5839;;;http://www.gitesnantesgrandlieu.fr;Maison Animal admis  WiFi;Entrée indépendante,Parking,Sanitaires privés,Toilettes séparées Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes Non classé Fourniture de draps (gratuit),Option nettoyage
CHAMBRES D'HÔTES MME MADELEINE HECAUD;Chambres d'hôtes;Le Gravier;44130;BLAIN;44015;47.468119;-1.769991;47.468119, -1.769991;;06 03 31 32 52;; Animal non accepté  WiFi;Entrée indépendante,Jardin indépendant,Terrasse / Balcon  2 étoiles Fourniture de draps (gratuit)
GÎTE DU HAUT BOURG;Meublés;69 rue du Haut Bourg;44440;TEILLE;44202;47.461861;-1.280659;47.461861, -1.280659;;06 03 75 21 96;; Animal non accepté  WiFi;Entrée indépendante,Garage,Jardin indépendant,Parking,Terrasse / Balcon   Fourniture de draps (gratuit)
LE GÎTE DU LIÈVRE;Meublés;St Sulpice des Landes;44540;VALLONS-DE-L'ERDRE;44180;47.547292;-1.25452;47.547292, -1.25452;;;; Animal non accepté  Piscine;Entrée indépendante,Jardin indépendant,Parking,Terrasse / Balcon Lave linge,Lave vaisselle,Micro ondes  Fourniture de draps (gratuit)
Le Pavillon;Chambres d'hôtes;37 rue Jean Baptiste Legeay;44350;GUERANDE;44069;47.32066;-2.43194;47.32066, -2.43194;;;http://lepavillon-guerande.fr;Maison Animal non accepté  WiFi;Entrée indépendante,Parking,Plain Pied,Sanitaires privés,Terrasse / Balcon Equipement bébé  Location/prêt de vélo
GITE LE MOULIN DE GUIBOEUF;Meublés;Le Moulin de Guiboeuf;44660;FERCE;44058;47.7832897;-1.3510957;47.7832897, -1.3510957;;06 32 77 04 32;; Animal admis  Plan d'eau,WiFi;Entrée indépendante,Jardin indépendant,Parking,Terrasse / Balcon Cheminée  Fourniture de draps (gratuit)
